iter	Passed	Remaining
844	16765	3075
845	16777	3054
846	16790	3032
847	16819	3014
848	16846	2996
849	16859	2975
850	16874	2954
851	16888	2933
852	16902	2912
853	16917	2892
854	16930	2871
855	16943	2850
856	16955	2829
857	16968	2808
858	17016	2793
859	17030	2772
860	17043	2751
861	17056	2730
862	17071	2709
863	17086	2689
864	17098	2668
865	17111	2647
866	17124	2626
867	17138	2606
868	17151	2585
869	17178	2566
870	17210	2548
871	17223	2528
872	17242	2508
873	17255	2487
874	17270	2467
875	17283	2446
876	17296	2425
877	17308	2405
878	17321	2384
879	17334	2363
880	17362	2345
881	17387	2326
882	17400	2305
883	17414	2285
884	17426	2264
885	17438	2243
886	17457	2223
887	17470	2203
888	17484	2183
889	17497	2162
890	17509	2142
891	17559	2126
892	17572	2105
893	17585	2085
894	17604	2065
895	17617	2044
896	17631	2024
897	17646	2004
898	17661	1984
899	17673	1963
900	17686	1943
901	17716	1924
902	17741	1905
903	17754	1885
904	17772	1865
905	17789	1845
906	17802	1825
907	17815	1805
908	17828	1784
909	17841	1764
910	17853	1744
911	17865	1723
912	17902	1705
913	17921	1686
914	17945	1667
915	17958	1646
916	17971	1626
917	17983	1606
918	17996	1586
919	18009	1566
920	18021	1545
921	18033	1525
922	18045	1505
923	18081	1487
924	18109	1468
925	18121	1448
926	18134	1428
927	18148	1408
928	18160	1387
929	18174	1367
930	18187	1347
931	18200	1327
932	18212	1307
933	18224	1287
934	18280	1270
935	18292	1250
936	18307	1230
937	18319	1210
938	18331	1190
939	18344	1170
940	18356	1150
941	18369	1131
942	18381	1111
943	18394	1091
944	18405	1071
945	18440	1052
946	18468	1033
947	18481	1013
948	18493	993
949	18506	974
950	18519	954
951	18531	934
952	18544	914
953	18563	895
954	18577	875
955	18590	855
956	18645	837
957	18659	818
958	18672	798
959	18685	778
960	18697	758
961	18712	739
962	18724	719
963	18739	699
964	18752	680
965	18764	660
966	18815	642
967	18832	622
968	18845	602
969	18857	583
970	18871	563
971	18889	544
972	18901	524
973	18914	504
974	18927	485
975	18940	465
976	18953	446
977	18989	427
978	19006	407
979	19018	388
980	19036	368
981	19049	349
982	19063	329
983	19075	310
984	19087	290
985	19101	271
986	19115	251
987	19128	232
988	19171	213
989	19191	193
990	19204	174
991	19219	154
992	19231	135
993	19245	116
994	19257	96
995	19270	77
996	19282	58
997	19295	38
998	19308	19
999	19347	0
